Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered
TAS,0.0,3.0,2,2021-11-18,3
NSW,17.0,15.0,2,2021-11-18,32
ACT,0.0,0.0,0,2021-11-18,0
Australia,36.0,76.0,10,2021-11-18,112
NT,0.0,0.0,0,2021-11-18,0
WA,0.0,0.0,1,2021-11-18,0
Australia,36.0,76.0,10,2021-11-19,112
ACT,0.0,0.0,0,2021-11-19,0
NSW,17.0,15.0,2,2021-11-19,32
NT,0.0,0.0,0,2021-11-19,0
QLD,0.0,8.0,0,2021-11-19,8
SA,0.0,1.0,0,2021-11-19,1
TAS,0.0,3.0,2,2021-11-19,3
VIC,19.0,49.0,5,2021-11-19,68
WA,0.0,0.0,1,2021-11-19,0
Australia,36.0,76.0,10,2021-11-20,112
NT,0.0,0.0,0,2021-11-20,0
ACT,0.0,0.0,0,2021-11-20,0
NSW,17.0,15.0,2,2021-11-20,32
QLD,0.0,8.0,0,2021-11-20,8
SA,0.0,1.0,0,2021-11-20,1
TAS,0.0,3.0,2,2021-11-20,3
WA,0.0,0.0,1,2021-11-20,0
VIC,19.0,49.0,5,2021-11-20,68
Australia,36.0,76.0,10,2021-11-21,112
NT,0.0,0.0,0,2021-11-21,0
QLD,0.0,8.0,0,2021-11-21,8
SA,0.0,1.0,0,2021-11-21,1
NSW,17.0,15.0,2,2021-11-21,32
TAS,0.0,3.0,2,2021-11-21,3
VIC,19.0,49.0,5,2021-11-21,68
WA,0.0,0.0,1,2021-11-21,0
ACT,0.0,0.0,0,2021-11-21,0
VIC,19.0,49.0,5,2021-11-22,68
NSW,17.0,15.0,2,2021-11-22,32
NT,0.0,0.0,0,2021-11-22,0
QLD,0.0,8.0,0,2021-11-22,8
SA,0.0,1.0,0,2021-11-22,1
TAS,0.0,3.0,2,2021-11-22,3
WA,0.0,0.0,1,2021-11-22,0
ACT,0.0,0.0,0,2021-11-22,0
Australia,36.0,76.0,10,2021-11-22,112
Australia,36.0,76.0,10,2021-11-23,112
ACT,0.0,0.0,0,2021-11-23,0
NSW,17.0,15.0,2,2021-11-23,32
NT,0.0,0.0,0,2021-11-23,0
QLD,0.0,8.0,0,2021-11-23,8
SA,0.0,1.0,0,2021-11-23,1
TAS,0.0,3.0,2,2021-11-23,3
VIC,19.0,49.0,5,2021-11-23,68
WA,0.0,0.0,1,2021-11-23,0
TAS,0.0,3.0,2,2021-11-24,3
SA,0.0,1.0,0,2021-11-24,1
Australia,36.0,76.0,10,2021-11-24,112
ACT,0.0,0.0,0,2021-11-24,0
NSW,17.0,15.0,2,2021-11-24,32
VIC,19.0,49.0,5,2021-11-24,68
QLD,0.0,8.0,0,2021-11-24,8
WA,0.0,0.0,1,2021-11-24,0
NT,0.0,0.0,0,2021-11-24,0
QLD,0.0,8.0,0,2021-11-25,8
Australia,36.0,76.0,10,2021-11-25,112
ACT,0.0,0.0,0,2021-11-25,0
NSW,17.0,15.0,2,2021-11-25,32
NT,0.0,0.0,0,2021-11-25,0
